rank,name,artist,url
1,Crime Junkie,audiochuck,https://podcasts.apple.com/us/podcast/crime-junkie/id1322200189?uo=2
2,The Joe Rogan Experience,Joe Rogan,https://podcasts.apple.com/us/podcast/the-joe-rogan-experience/id360084272?uo=2
3,The Daily,The New York Times,https://podcasts.apple.com/us/podcast/the-daily/id1200361736?uo=2
4,In The Dark,The New Yorker,https://podcasts.apple.com/us/podcast/in-the-dark/id1148175292?uo=2
5,Dateline NBC,NBC News,https://podcasts.apple.com/us/podcast/dateline-nbc/id1464919521?uo=2
6,Pardon My Take,Barstool Sports,https://podcasts.apple.com/us/podcast/pardon-my-take/id1089022756?uo=2
7,The Megyn Kelly Show,SiriusXM,https://podcasts.apple.com/us/podcast/the-megyn-kelly-show/id1532976305?uo=2
8,The Mel Robbins Podcast,Mel Robbins,https://podcasts.apple.com/us/podcast/the-mel-robbins-podcast/id1646101002?uo=2
9,The Diary Of A CEO with Steven Bartlett,DOAC,https://podcasts.apple.com/us/podcast/the-diary-of-a-ceo-with-steven-bartlett/id1291423644?uo=2
10,Up First from NPR,NPR,https://podcasts.apple.com/us/podcast/up-first-from-npr/id1222114325?uo=2
11,Morbid,Ash Kelley & Alaina Urquhart,https://podcasts.apple.com/us/podcast/morbid/id1379959217?uo=2
12,The Peter Attia Drive,"Peter Attia, MD",https://podcasts.apple.com/us/podcast/the-peter-attia-drive/id1400828889?uo=2
13,SmartLess,"Jason Bateman, Sean Hayes, Will Arnett",https://podcasts.apple.com/us/podcast/smartless/id1521578868?uo=2
14,Mick Unplugged,Realm,https://podcasts.apple.com/us/podcast/mick-unplugged/id1731755953?uo=2
15,The Bill Simmons Podcast,The Ringer,https://podcasts.apple.com/us/podcast/the-bill-simmons-podcast/id1043699613?uo=2
16,Good Hang with Amy Poehler,The Ringer,https://podcasts.apple.com/us/podcast/good-hang-with-amy-poehler/id1795483480?uo=2
17,The Level Up Podcast w/ Paul Alex,Paul Alex Espinoza,https://podcasts.apple.com/us/podcast/the-level-up-podcast-w-paul-alex/id1733135157?uo=2
18,Pod Save America,Crooked Media,https://podcasts.apple.com/us/podcast/pod-save-america/id1192761536?uo=2
19,REAL AF with Andy Frisella,Andy Frisella,https://podcasts.apple.com/us/podcast/real-af-with-andy-frisella/id1012570406?uo=2
20,BETH'S DEAD,"Monica Padman, Elizabeth Laime, Andy Rosen",https://podcasts.apple.com/us/podcast/beths-dead/id1842968648?uo=2
